Q,clip,W,D,snr_db,ber,n_errors,n_bits,ci_low,ci_high
5,3.0,10,32,4.0,2.4706125259399414e-05,829,33554432,2.0898022537789088e-05,2.851422798100974e-05
5,3.0,10,32,4.5,4.28160031636556e-06,431,100663296,3.3768587306910186e-06,5.186341902040101e-06
5,3.0,10,32,5.0,7.847944895426432e-07,158,201326592,5.125719073075613e-07,1.057017071777725e-06
5,3.0,10,32,5.5,3.9736429850260414e-08,8,201326592,0.0,8.104007294987492e-08
5,3.0,10,48,4.0,1.9341707229614258e-05,649,33554432,1.590366744278253e-05,2.2779747016445985e-05
5,3.0,10,48,4.5,3.553926944732666e-06,477,134217728,2.818635610242742e-06,4.2892182792225895e-06
5,3.0,10,48,5.0,7.351239522298177e-07,148,201326592,4.660503793361961e-07,1.0041975251234395e-06
5,3.0,10,48,5.5,5.463759104410807e-08,11,201326592,0.0,1.1056297237307875e-07
5,3.0,10,64,4.0,1.8298625946044922e-05,614,33554432,1.4712737473763959e-05,2.1884514418325885e-05
5,3.0,10,64,4.5,3.419816493988037e-06,459,134217728,2.7128963208631606e-06,4.126736667112914e-06
5,3.0,10,64,5.0,6.755193074544271e-07,136,201326592,4.153976414553425e-07,9.356409734535117e-07
5,3.0,10,64,5.5,7.450580596923828e-08,15,201326592,0.0,1.4928449164953365e-07
6,1.5,12,24,4.0,8.100271224975586e-05,2718,33554432,7.439177854821057e-05,8.761364595130115e-05
6,1.5,12,24,4.5,1.475214958190918e-05,495,33554432,1.2221072486649382e-05,1.728322667716898e-05
6,1.5,12,24,5.0,2.5153160095214845e-06,422,167772160,2.0573195175563996e-06,2.9733125014865695e-06
6,1.5,12,24,5.5,3.2782554626464844e-07,66,201326592,2.0623844890957736e-07,4.494126436197195e-07
6,1.5,12,32,4.0,3.987550735473633e-05,1338,33554432,3.479207226994099e-05,4.495894243953167e-05
6,1.5,12,32,4.5,6.42240047454834e-06,431,67108864,5.116845310429134e-06,7.727955638667545e-06
6,1.5,12,32,5.0,1.1225541432698567e-06,226,201326592,8.153485933554696e-07,1.4297596931842437e-06
6,1.5,12,32,5.5,7.450580596923828e-08,15,201326592,0.0,1.5177784350210203e-07
6,1.5,12,48,4.0,2.7120113372802734e-05,910,33554432,2.304759095290934e-05,3.119263579269613e-05
6,1.5,12,48,4.5,5.563100179036458e-06,560,100663296,4.48411966958572e-06,6.642080688487196e-06
6,1.5,12,48,5.0,9.934107462565105e-07,200,201326592,7.08609884283103e-07,1.2782116082299178e-06
6,1.5,12,48,5.5,1.043081283569336e-07,21,201326592,9.4198188744837e-09,1.9919643783938347e-07
6,1.5,12,64,4.0,3.281235694885254e-05,1101,33554432,2.816490522936998e-05,3.74598086683351e-05
6,1.5,12,64,4.5,6.22868537902832e-06,418,67108864,4.937859262159767e-06,7.519511495896874e-06
6,1.5,12,64,5.0,7.152557373046875e-07,144,201326592,4.780032921936395e-07,9.525081824157355e-07
6,1.5,12,64,5.5,2.1358331044514975e-07,43,201326592,8.045638068995489e-08,3.467102402003446e-07
6,2.0,8,32,2.0,0.5002380013465881,16785202,33554432,0.5000688473945233,0.500407155298653
6,2.0,8,32,3.0,0.5001697838306427,16782913,33554432,0.5000001009871051,0.5003394666741803
