tag,Q,W,D,period_ns,slack_before_ns,path_before_ns,fmax_before_mhz,worst_cell_before,worst_gate_delay_before_ns,worst_gate_fanout_before,worst_gate_cap_before_pf,max_fanout_before,area_before_um2,slack_after_ns,path_after_ns,fmax_after_mhz,worst_cell_after,worst_gate_delay_after_ns,max_fanout_after,area_after_um2,start_after,end_after
Q4_W10_D64,4,10,64,10.0,-156.81,166.81,5.994844433786943,sky130_fd_sc_hd__clkinv_1,102.6174,8683,18.101,8683,267350.0,3.34,6.66,150.15015015015015,sky130_fd_sc_hd__xnor3_1,1.4941,70,275474.0,u_acs/_3076_,u_tb/_37765_
Q6_W12_D64,6,12,64,10.0,-162.16,172.16,5.808550185873606,sky130_fd_sc_hd__clkinv_1,105.9374,8937,18.6875,8937,291070.0,0.12,9.88,101.21457489878541,sky130_fd_sc_hd__nand2_1,1.0819,192,300995.0,u_ctrl/_242_,u_tb/_38427_
Q6_W12_D32,6,12,32,10.0,-89.19,99.19,10.081661457808247,sky130_fd_sc_hd__clkinv_1,60.7264,4840,10.6965,4840,206990.0,3.12,6.88,145.34883720930233,sky130_fd_sc_hd__xnor2_2,0.7012,29,214138.0,u_acs/_3329_,u_tb/_16563_
Q3_W8_D32,3,8,32,10.0,-78.54,88.54,11.294330246216399,sky130_fd_sc_hd__clkinv_1,54.1215,4395,9.5302,4395,157527.0,3.47,6.529999999999999,153.1393568147014,sky130_fd_sc_hd__a21oi_1,0.9732,205,162179.0,u_ctrl/_237_,u_tb/_17383_
