Q,W,D,clip,power_gated,nf_db,p_circuit_mw,e_dec_pj_per_bit,model,env,eta_pa,dstar_m
4,10,64,2.5,True,6.0,20,440.773,A,indoor,0.1,21.003
4,10,64,2.5,True,6.0,20,440.773,B,free_space,0.1,1403.283
4,10,64,2.5,True,6.0,20,440.773,B,indoor,0.1,62.859
4,10,64,2.5,True,6.0,60,440.773,A,free_space,0.1,206.065
4,10,64,2.5,True,6.0,60,440.773,A,indoor,0.1,21.003
4,10,64,2.5,True,6.0,60,440.773,B,free_space,0.1,2413.023
4,10,64,2.5,True,6.0,60,440.773,B,indoor,0.1,85.683
4,10,64,2.5,True,6.0,120,440.773,A,free_space,0.1,206.065
4,10,64,2.5,True,6.0,120,440.773,A,indoor,0.1,21.003
4,10,64,2.5,True,6.0,120,440.773,B,free_space,0.1,3406.303
4,10,64,2.5,True,6.0,120,440.773,B,indoor,0.1,104.339
4,10,64,2.5,True,10.0,20,440.773,A,free_space,0.1,130.018
4,10,64,2.5,True,10.0,20,440.773,A,indoor,0.1,16.144
4,10,64,2.5,True,10.0,20,440.773,B,free_space,0.1,885.412
4,10,64,2.5,True,10.0,20,440.773,B,indoor,0.1,48.315
4,10,64,2.5,True,10.0,60,440.773,A,free_space,0.1,130.018
4,10,64,2.5,True,10.0,60,440.773,A,indoor,0.1,16.144
4,10,64,2.5,True,10.0,60,440.773,B,free_space,0.1,1522.515
4,10,64,2.5,True,10.0,60,440.773,B,indoor,0.1,65.858
4,10,64,2.5,True,10.0,120,440.773,A,free_space,0.1,130.018
4,10,64,2.5,True,10.0,120,440.773,A,indoor,0.1,16.144
4,10,64,2.5,True,10.0,120,440.773,B,free_space,0.1,2149.232
4,10,64,2.5,True,10.0,120,440.773,B,indoor,0.1,80.198
4,10,64,2.5,False,3.0,20,440.9845,A,free_space,0.1,291.144
4,10,64,2.5,False,3.0,20,440.9845,A,indoor,0.1,25.59
4,10,64,2.5,False,3.0,20,440.9845,B,free_space,0.1,1982.2
4,10,64,2.5,False,3.0,20,440.9845,B,indoor,0.1,76.575
4,10,64,2.5,False,3.0,60,440.9845,A,free_space,0.1,291.144
4,10,64,2.5,False,3.0,60,440.9845,A,indoor,0.1,25.59
4,10,64,2.5,False,3.0,60,440.9845,B,free_space,0.1,3408.492
4,10,64,2.5,False,3.0,60,440.9845,B,indoor,0.1,104.378
4,10,64,2.5,False,3.0,120,440.9845,A,free_space,0.1,291.144
4,10,64,2.5,False,3.0,120,440.9845,A,indoor,0.1,25.59
4,10,64,2.5,False,3.0,120,440.9845,B,free_space,0.1,4811.535
4,10,64,2.5,False,3.0,120,440.9845,B,indoor,0.1,127.105
4,10,64,2.5,False,6.0,20,440.9845,A,free_space,0.1,206.114
4,10,64,2.5,False,6.0,20,440.9845,A,indoor,0.1,21.006
4,10,64,2.5,False,6.0,20,440.9845,B,free_space,0.1,1403.29
4,10,64,2.5,False,6.0,20,440.9845,B,indoor,0.1,62.859
4,10,64,2.5,False,6.0,60,440.9845,A,free_space,0.1,206.114
4,10,64,2.5,False,6.0,60,440.9845,A,indoor,0.1,21.006
4,10,64,2.5,False,6.0,60,440.9845,B,free_space,0.1,2413.028
4,10,64,2.5,False,6.0,60,440.9845,B,indoor,0.1,85.683
4,10,64,2.5,False,6.0,120,440.9845,A,free_space,0.1,206.114
4,10,64,2.5,False,6.0,120,440.9845,A,indoor,0.1,21.006
4,10,64,2.5,False,6.0,120,440.9845,B,free_space,0.1,3406.306
4,10,64,2.5,False,6.0,120,440.9845,B,indoor,0.1,104.339
4,10,64,2.5,False,10.0,20,440.9845,A,free_space,0.1,130.049
4,10,64,2.5,False,10.0,20,440.9845,A,indoor,0.1,16.146
4,10,64,2.5,False,10.0,20,440.9845,B,free_space,0.1,885.416
4,10,64,2.5,False,10.0,20,440.9845,B,indoor,0.1,48.315
4,10,64,2.5,False,10.0,60,440.9845,A,free_space,0.1,130.049
4,10,64,2.5,False,10.0,60,440.9845,A,indoor,0.1,16.146
4,10,64,2.5,False,10.0,60,440.9845,B,free_space,0.1,1522.517
4,10,64,2.5,False,10.0,60,440.9845,B,indoor,0.1,65.858
4,10,64,2.5,False,10.0,120,440.9845,A,free_space,0.1,130.049
4,10,64,2.5,False,10.0,120,440.9845,A,indoor,0.1,16.146
4,10,64,2.5,False,10.0,120,440.9845,B,free_space,0.1,2149.234
4,10,64,2.5,False,10.0,120,440.9845,B,indoor,0.1,80.198
6,12,32,3.0,True,3.0,20,303.207,A,free_space,0.1,241.448
6,12,32,3.0,True,3.0,20,303.207,A,indoor,0.1,22.994
6,12,32,3.0,True,3.0,20,303.207,B,free_space,0.1,1975.768
6,12,32,3.0,True,3.0,20,303.207,B,indoor,0.1,76.432
6,12,32,3.0,True,3.0,60,303.207,A,free_space,0.1,241.448
6,12,32,3.0,True,3.0,60,303.207,A,indoor,0.1,22.994
6,12,32,3.0,True,3.0,60,303.207,B,free_space,0.1,3405.053
6,12,32,3.0,True,3.0,60,303.207,B,indoor,0.1,104.317
6,12,32,3.0,True,3.0,120,303.207,A,free_space,0.1,241.448
6,12,32,3.0,True,3.0,120,303.207,A,indoor,0.1,22.994
6,12,32,3.0,True,3.0,120,303.207,B,free_space,0.1,4809.415
6,12,32,3.0,True,3.0,120,303.207,B,indoor,0.1,127.073
6,12,32,3.0,True,6.0,20,303.207,A,free_space,0.1,170.932
6,12,32,3.0,True,6.0,20,303.207,A,indoor,0.1,18.876
6,12,32,3.0,True,6.0,20,303.207,B,free_space,0.1,1398.737
6,12,32,3.0,True,6.0,20,303.207,B,indoor,0.1,62.743
6,12,32,3.0,True,6.0,60,303.207,A,free_space,0.1,170.932
6,12,32,3.0,True,6.0,60,303.207,A,indoor,0.1,18.876
6,12,32,3.0,True,6.0,60,303.207,B,free_space,0.1,2410.593
6,12,32,3.0,True,6.0,60,303.207,B,indoor,0.1,85.633
6,12,32,3.0,True,6.0,120,303.207,A,free_space,0.1,170.932
6,12,32,3.0,True,6.0,120,303.207,A,indoor,0.1,18.876
6,12,32,3.0,True,6.0,120,303.207,B,free_space,0.1,3404.805
6,12,32,3.0,True,6.0,120,303.207,B,indoor,0.1,104.313
6,12,32,3.0,True,10.0,20,303.207,A,free_space,0.1,107.851
6,12,32,3.0,True,10.0,20,303.207,A,indoor,0.1,14.508
6,12,32,3.0,True,10.0,20,303.207,B,free_space,0.1,882.543
6,12,32,3.0,True,10.0,20,303.207,B,indoor,0.1,48.226
6,12,32,3.0,True,10.0,60,303.207,A,free_space,0.1,107.851
6,12,32,3.0,True,10.0,60,303.207,A,indoor,0.1,14.508
6,12,32,3.0,True,10.0,60,303.207,B,free_space,0.1,1520.981
6,12,32,3.0,True,10.0,60,303.207,B,indoor,0.1,65.82
6,12,32,3.0,True,10.0,120,303.207,A,free_space,0.1,107.851
6,12,32,3.0,True,10.0,120,303.207,A,indoor,0.1,14.508
6,12,32,3.0,True,10.0,120,303.207,B,free_space,0.1,2148.287
6,12,32,3.0,True,10.0,120,303.207,B,indoor,0.1,80.178
6,12,32,3.0,False,3.0,20,303.3739,A,free_space,0.1,241.514
6,12,32,3.0,False,3.0,20,303.3739,A,indoor,0.1,22.998
6,12,32,3.0,False,3.0,20,303.3739,B,free_space,0.1,1975.776
6,12,32,3.0,False,3.0,20,303.3739,B,indoor,0.1,76.433
6,12,32,3.0,False,3.0,60,303.3739,A,free_space,0.1,241.514
6,12,32,3.0,False,3.0,60,303.3739,A,indoor,0.1,22.998
6,12,32,3.0,False,3.0,60,303.3739,B,free_space,0.1,3405.058
6,12,32,3.0,False,3.0,60,303.3739,B,indoor,0.1,104.317
6,12,32,3.0,False,3.0,120,303.3739,A,free_space,0.1,241.514
6,12,32,3.0,False,3.0,120,303.3739,A,indoor,0.1,22.998
6,12,32,3.0,False,3.0,120,303.3739,B,free_space,0.1,4809.418
6,12,32,3.0,False,3.0,120,303.3739,B,indoor,0.1,127.073
6,12,32,3.0,False,6.0,20,303.3739,A,free_space,0.1,170.979
6,12,32,3.0,False,6.0,20,303.3739,A,indoor,0.1,18.878
6,12,32,3.0,False,6.0,20,303.3739,B,free_space,0.1,1398.742
6,12,32,3.0,False,6.0,20,303.3739,B,indoor,0.1,62.743
6,12,32,3.0,False,6.0,60,303.3739,A,free_space,0.1,170.979
6,12,32,3.0,False,6.0,60,303.3739,A,indoor,0.1,18.878
6,12,32,3.0,False,6.0,60,303.3739,B,free_space,0.1,2410.596
6,12,32,3.0,False,6.0,60,303.3739,B,indoor,0.1,85.633
6,12,32,3.0,False,6.0,120,303.3739,A,free_space,0.1,170.979
6,12,32,3.0,False,6.0,120,303.3739,A,indoor,0.1,18.878
6,12,32,3.0,False,6.0,120,303.3739,B,free_space,0.1,3404.807
6,12,32,3.0,False,6.0,120,303.3739,B,indoor,0.1,104.313
6,12,32,3.0,False,10.0,20,303.3739,A,free_space,0.1,107.88
6,12,32,3.0,False,10.0,20,303.3739,A,indoor,0.1,14.51
6,12,32,3.0,False,10.0,20,303.3739,B,free_space,0.1,882.547
6,12,32,3.0,False,10.0,20,303.3739,B,indoor,0.1,48.226
6,12,32,3.0,False,10.0,60,303.3739,A,free_space,0.1,107.88
6,12,32,3.0,False,10.0,60,303.3739,A,indoor,0.1,14.51
6,12,32,3.0,False,10.0,60,303.3739,B,free_space,0.1,1520.983
6,12,32,3.0,False,10.0,60,303.3739,B,indoor,0.1,65.82
6,12,32,3.0,False,10.0,120,303.3739,A,free_space,0.1,107.88
6,12,32,3.0,False,10.0,120,303.3739,A,indoor,0.1,14.51
6,12,32,3.0,False,10.0,120,303.3739,B,free_space,0.1,2148.288
6,12,32,3.0,False,10.0,120,303.3739,B,indoor,0.1,80.178
6,12,64,3.0,True,3.0,20,469.6431,A,free_space,0.1,299.914
6,12,64,3.0,True,3.0,20,469.6431,A,indoor,0.1,26.027
6,12,64,3.0,True,3.0,20,469.6431,B,free_space,0.1,1980.009
6,12,64,3.0,True,3.0,20,469.6431,B,indoor,0.1,76.526
6,12,64,3.0,True,3.0,60,469.6431,A,free_space,0.1,299.914
6,12,64,3.0,True,3.0,60,469.6431,A,indoor,0.1,26.027
6,12,64,3.0,True,3.0,60,469.6431,B,free_space,0.1,3403.148
6,12,64,3.0,True,3.0,60,469.6431,B,indoor,0.1,104.284
6,12,64,3.0,True,3.0,120,469.6431,A,free_space,0.1,299.914
6,12,64,3.0,True,3.0,120,469.6431,A,indoor,0.1,26.027
6,12,64,3.0,True,3.0,120,469.6431,B,free_space,0.1,4803.424
