Q,clip,W,D,required_ebn0_db,loss_vs_float_db,required_sigma_db,required_ci_low_db,required_ci_high_db,survivor_bits,rationale
6,3.0,12,64,4.1522,0.0152,0.0239,4.1031,4.1965,12288,BER 最佳（不計成本）
6,3.0,12,32,4.1937,0.0567,0.0208,4.1524,4.2336,6144,D 最小、且距最佳 ≤ 0.1 dB —— survivor 記憶體 = 64×3D 位元，支配面積
4,2.5,10,64,4.1909,0.0539,0.0225,4.1461,4.2337,12288,Q 最小、且距最佳 ≤ 0.1 dB —— Q 唯一決定最小安全 W，進而決定 ACS 寬度
3,2.0,8,32,4.3593,0.2223,0.0237,4.3185,4.4111,6144,"教科書組態 Q=3, D=32（對照）"
