config,kind,Q,clip,W,D,mode,metric,ebn0_db,ber,n_errors,n_bits,ci_low,ci_high
fx_Q4_clip2.0,fx,4,2.0,12,64,,,4.0,1.8229166666666668e-05,112,6144000,1.0653066641374542e-05,2.5805266691958794e-05
fx_Q4_clip3.0,fx,4,3.0,12,64,,,5.0,4.331527217741936e-07,11,25395200,0.0,9.273260208679422e-07
fx_Q4_clip2.5,fx,4,2.5,12,64,,,4.5,3.780241935483871e-06,96,25395200,2.1730340942221153e-06,5.387449776745627e-06
fx_Q5_clip1.5,fx,5,1.5,12,64,,,4.5,7.7056884765625e-06,101,13107200,4.456106458331707e-06,1.0955270494793293e-05
fx_Q5_clip1.5,fx,5,1.5,12,64,,,5.0,9.450604838709677e-07,24,25395200,1.580484739350277e-07,1.7320724938069077e-06
fx_Q5_clip1.5,fx,5,1.5,12,64,,,4.0,2.8483072916666667e-05,105,3686400,1.6241808829123567e-05,4.072433700420977e-05
fx_Q5_clip2.0,fx,5,2.0,12,64,,,5.0,5.512852822580646e-07,14,25395200,0.0,1.1969955494381163e-06
fx_Q5_clip1.5,fx,5,1.5,12,64,,,5.5,0.0,0,25395200,0.0,0.0
fx_Q5_clip2.0,fx,5,2.0,12,64,,,4.5,4.353841145833333e-06,107,24576000,2.335375921710981e-06,6.372306369955685e-06
fx_Q5_clip2.0,fx,5,2.0,12,64,,,4.0,2.4192116477272727e-05,109,4505600,1.351487302675062e-05,3.486935992779484e-05
fx_Q5_clip2.5,fx,5,2.5,12,64,,,4.0,1.3748972039473684e-05,107,7782400,7.898859432403934e-06,1.9599084646543433e-05
fx_Q5_clip2.5,fx,5,2.5,12,64,,,4.5,3.268334173387097e-06,83,25395200,1.6665211247443232e-06,4.87014722202987e-06
fx_Q5_clip2.5,fx,5,2.5,12,64,,,5.0,3.5439768145161293e-07,9,25395200,0.0,7.977496764369877e-07
fx_Q5_clip2.5,fx,5,2.5,12,64,,,5.5,0.0,0,25395200,0.0,0.0
fx_Q4_clip3.0,fx,4,3.0,12,64,,,4.0,1.806640625e-05,111,6144000,1.016776583027985e-05,2.5965046669720148e-05
fx_Q5_clip2.0,fx,5,2.0,12,64,,,5.5,0.0,0,25395200,0.0,0.0
fx_Q5_clip3.0,fx,5,3.0,12,64,,,4.0,1.9719050480769232e-05,105,5324800,1.0725359160618121e-05,2.8712741800920344e-05
fx_Q6_clip1.5,fx,6,1.5,12,64,,,4.0,3.8713727678571425e-05,111,2867200,2.0207879235371526e-05,5.7219576121771325e-05
fx_Q6_clip1.5,fx,6,1.5,12,64,,,4.5,5.6596235795454546e-06,102,18022400,3.3643460089563126e-06,7.954901150134596e-06
fx_Q6_clip1.5,fx,6,1.5,12,64,,,5.5,0.0,0,25395200,0.0,0.0
fx_Q4_clip3.0,fx,4,3.0,12,64,,,5.5,2.3626512096774194e-07,6,25395200,0.0,6.993447580645161e-07
fx_Q6_clip2.0,fx,6,2.0,12,64,,,4.0,1.1763139204545454e-05,106,9011200,6.770969549006896e-06,1.675530886008401e-05
fx_Q5_clip3.0,fx,5,3.0,12,64,,,5.5,0.0,0,25395200,0.0,0.0
fx_Q5_clip3.0,fx,5,3.0,12,64,,,4.5,3.268334173387097e-06,83,25395200,1.7903091012504413e-06,4.746359245523752e-06
fx_Q6_clip1.5,fx,6,1.5,12,64,,,5.0,1.4963457661290323e-06,38,25395200,5.202461440670088e-07,2.472445388191056e-06
fx_Q6_clip2.0,fx,6,2.0,12,64,,,5.5,4.331527217741936e-07,11,25395200,0.0,1.0359353648805027e-06
fx_Q5_clip3.0,fx,5,3.0,12,64,,,5.0,1.1813256048387097e-07,3,25395200,0.0,2.9070936806476903e-07
fx_Q6_clip2.0,fx,6,2.0,12,64,,,4.5,3.1108240927419353e-06,79,25395200,1.6327463667503525e-06,4.588901818733518e-06
fx_Q6_clip3.0,fx,6,3.0,12,64,,,4.0,1.8833705357142856e-05,108,5734400,1.0803182744863267e-05,2.6864227969422445e-05
fx_Q6_clip2.5,fx,6,2.5,12,64,,,4.0,1.4504825367647058e-05,101,6963200,7.822524259383509e-06,2.1187126475910608e-05
fx_Q6_clip3.0,fx,6,3.0,12,64,,,4.5,3.2289566532258064e-06,82,25395200,1.7249491633974413e-06,4.7329641430541715e-06
fx_Q6_clip2.5,fx,6,2.5,12,64,,,5.0,6.694178427419355e-07,17,25395200,9.708519341575888e-08,1.2417504920681121e-06
fx_Q6_clip2.5,fx,6,2.5,12,64,,,4.5,3.4652217741935486e-06,88,25395200,1.961295737281172e-06,4.969147811105925e-06
fx_Q6_clip2.5,fx,6,2.5,12,64,,,5.5,1.968876008064516e-07,5,25395200,0.0,4.751586510740213e-07
fx_Q6_clip3.0,fx,6,3.0,12,64,,,5.0,2.756426411290323e-07,7,25395200,0.0,6.120514878950034e-07
float_D32,float,,,,32,,soft,3.5,0.00011311848958333333,139,1228800,6.58653435027516e-05,0.00016037163566391506
float_D24,float,,,,24,,soft,5.0,1.0238155241935483e-06,26,25395200,3.9691958415816684e-07,1.65071146422893e-06
float_D24,float,,,,24,,soft,3.5,0.00033447265625,137,409600,0.00020186273267344513,0.0004670825798265549
float_D32,float,,,,32,,soft,4.5,3.7014868951612904e-06,94,25395200,1.8658589066233794e-06,5.537114883699201e-06
float_D24,float,,,,24,,soft,4.5,7.546164772727273e-06,102,13516800,5.08862934218039e-06,1.0003700203274155e-05
float_D24,float,,,,24,,soft,4.0,4.150390625e-05,102,2457600,2.5879214397043326e-05,5.712859810295668e-05
float_D48,float,,,,48,,soft,3.5,4.847935267857143e-05,139,2867200,3.0388644092299936e-05,6.657006126484292e-05
float_D32,float,,,,32,,soft,4.0,1.5869140625e-05,104,6553600,9.810626518039083e-06,2.1927654731960917e-05
float_D48,float,,,,48,,soft,4.0,3.487723214285714e-05,100,2867200,1.4520994010198055e-05,5.5233470275516226e-05
float_D64,float,,,,64,,soft,4.0,1.52587890625e-05,100,6553600,7.619032325628373e-06,2.2898545799371627e-05
float_D32,float,,,,32,,soft,5.0,5.512852822580646e-07,14,25395200,0.0,1.2586320959547503e-06
float_D48,float,,,,48,,soft,5.0,7.481728830645162e-07,19,25395200,9.78967115407546e-08,1.3984490545882778e-06
float_D64,float,,,,64,,soft,3.5,6.40869140625e-05,105,1638400,3.684844986203142e-05,9.132537826296859e-05
float_D64,float,,,,64,,soft,4.5,3.268334173387097e-06,83,25395200,1.4570796262401675e-06,5.0795887205340265e-06
float_ML,float,,,,1024,ml,soft,3.5,0.000126953125,104,819200,6.770376173931359e-05,0.00018620248826068642
float_D48,float,,,,48,,soft,4.5,3.3470892137096775e-06,85,25395200,1.2923956397526858e-06,5.401782787666669e-06
float_ML,float,,,,1024,ml,soft,4.0,2.0548502604166667e-05,101,4915200,1.0920243750350433e-05,3.01767614579829e-05
fx_Q6_clip2.0,fx,6,2.0,12,64,,,5.0,3.5439768145161293e-07,9,25395200,0.0,8.109882617167062e-07
float_ML,float,,,,1024,ml,soft,4.5,3.662109375e-06,93,25395200,1.962974481755089e-06,5.361244268244911e-06
float_D64,float,,,,64,,soft,5.0,5.906628024193549e-07,15,25395200,0.0,1.2852573598596612e-06
fx_Q6_clip3.0,fx,6,3.0,12,64,,,5.5,0.0,0,25395200,0.0,0.0
